,g,cups,tablespoons,teaspoons
all-purpose flour,217.8,1.53,24.47,73.42
baking soda,2.87,0.01,0.18,0.54
brown sugar,105.77,0.52,8.31,24.92
butter,132.14,0.59,9.51,28.52
chocolate chips,259.74,1.09,17.39,52.18
eggs,63.81,0.26,4.19,12.56
salt,3,0.01,0.09,0.28
vanilla extract,3.64,0.02,0.28,0.84
white sugar,99.97,0.46,7.39,22.17
,,,,
,,,,
,,,,
,,,,
,Grams,Volume,,
butter,132.14,0.59 cups,,
white sugar,99.97,0.46 cups,,
brown sugar,105.77,0.52 cups,,
eggs,63.81,0.26 cups,,
vanilla extract,3.64,0.84 tsp,,
all-purpose flour,217.8,1.53 cups,,
baking soda,2.87,0.54 tsp,,
salt,3,0.28 tsp,,
chocolate chips,259.74,1.09 cups,,
