all-purpose flour,0.601866667
whole wheat flour,0.601866667
baking soda,1.07894
salt,2.16
butter,0.94
white sugar,0.914933333
vanilla extract,0.88
chocolate chips,1.01
eggs,1.031
eggyolk,1.023
brown sugar,0.86096
water,1
ounce) package yellow cake mix,0.85
walnuts,0.91
shortening,0.9
coffee-flavored liqueur,0.789
baking powder,0.87184
chopped pecans,0.85
almonds,1
milk,1.03
cream of tartar,1.18
instant espresso coffee powder,0.064
vegetable oil,0.92
margarine,0.92
ground white pepper,1
cinnamon,0.87184
cloves,0.87184
raisins,0.61
applesauce,1.03
bananas,1.1
honey,1.43
coconut,0.28
pumpkin puree,1.04
confectioners' sugar,0.51
oatmeal,0.8
oats,0.44212
zucchini,0.5
granola,0.8
nutmeg,0.446
apple,0.75
cranberries,0.42
white chocolate,0.95
molasses,1.42
whipping cream,1.01
orange zest,0.41
orange extract,1
rice cereal,0.11
toffee,0.57
cocoa powder,0.36
canola oil,0.91
chicken broth,1
cream of chicken soup,1
cream of mushroom soup,1
chicken meat,1
onion powder,1
garlic powder,1
garlic,1
black peppercorns,1
onion,1
fresh thyme,1
italian seasoning,1
celery,1
black pepper,1
corn,1
chicken meat,1
carrot,1
lemongrass,1
potato,1
dried thyme,1
dried sage,1
dried basil,1
dried parsley,1
dried oregano,1
dried marjoram,1
fresh parsley,1
olive oil,1
tomato,1
pasta,1
pesto,1
parmesan cheese,1
bell pepper,1
red curry paste,1
rice noodles,1
beef bouillon,1
poultry seasoning,1
vegetable broth,1
pepper flakes,1
soy sauce,1
ginger,1
bay leaf,1
farfalle,1
ramen noodles,1
fennel bulb,1
white wine,1
lemon juice,1
kohlrabi bulb,1
fresh rosemary,1
chicken bouillon,1
