quantities,units,ingredients
2.25,cups,all-purpose flour
1,tablespoon,all-purpose flour
2.5,teaspoons,ground ginger
2,teaspoons,baking powder
2,teaspoons,ground cinnamon
0.25,teaspoon,baking soda
0.5,teaspoon,ground allspice
0.5,teaspoon,ground nutmeg
0.25,teaspoon,ground cloves
8,ounce,"ounce) package cream cheese, softened"
1,units,"stick butter, softened"
1,cup,white sugar
0.5,cup,firmly packed brown sugar
1,tablespoon,molasses
1,teaspoon,vanilla extract
0.25,teaspoon,almond extract
0.5,teaspoon,salt
1,units,large egg
1,units,large egg yolk
